YEAR,PLAYER,SALARY
2001,Shawn Kemp,"$11,720,000"
2001,Damon Stoudamire,"$11,250,000"
2001,John Stockton,"$11,000,000"
2001,Antonio McDyess,"$10,800,000"
2001,Reggie Miller,"$10,666,000"
2001,Arvydas Sabonis,"$10,636,000"
2001,Penny Hardaway,"$10,130,000"
2001,Zydrunas Ilgauskas,"$10,130,000"
2001,Stephon Marbury,"$10,130,000"
2001,Ray Allen,"$10,125,000"
2001,Vin Baker,"$10,125,000"
2001,Antoine Walker,"$10,125,000"
2001,Kobe Bryant,"$10,125,000"
2001,Bryant Reeves,"$10,110,000"
2001,Tim Duncan,"$9,658,000"
2001,Tracy McGrady,"$9,658,000"
2001,Grant Hill,"$9,658,000"
2001,Vlade Divac,"$9,641,000"
2001,Tom Gugliotta,"$9,336,000"
2001,Allan Houston,"$9,000,000"
2001,Keith Van Horn,"$9,000,000"
2001,Eddie Jones,"$8,960,000"
2001,Brian Grant,"$8,897,000"
2001,Tim Thomas,"$8,507,000"
2001,Michael Finley,"$8,400,000"
2001,Shawn Bradley,"$8,370,000"
2001,Terrell Brandon,"$8,325,000"
2001,Nick Van Exel,"$8,184,000"
2001,Glenn Robinson,"$8,120,000"
2001,Steve Smith,"$8,100,000"
2001,Elden Campbell,"$8,050,000"
2001,Derrick Coleman,"$8,040,000"
2001,Avery Johnson,"$8,000,000"
2001,Horace Grant,"$7,843,000"
2001,Theo Ratliff,"$7,800,000"
2001,Jason Kidd,"$7,630,000"
2001,Glen Rice,"$7,578,000"
2001,Kenny Anderson,"$7,520,000"
2001,Matt Geiger,"$7,515,000"
2001,Tyrone Hill,"$7,415,000"
2001,Toni Kukoc,"$7,167,000"
2001,Clifford Robinson,"$6,890,000"
2001,Christian Laettner,"$6,625,000"
2001,Chris Dudley,"$6,200,000"
2001,Jamal Mashburn,"$6,200,000"
2001,Dale Davis,"$6,175,000"
2001,Alan Henderson,"$5,909,000"
2001,P.J. Brown,"$5,764,000"
2001,Luc Longley,"$5,750,000"
2001,Marcus Camby,"$5,750,000"
2001,Jermaine O'Neal,"$5,700,000"
2001,Donyell Marshall,"$5,630,000"
2001,Bryant Stith,"$5,620,000"
2001,Erick Dampier,"$5,611,000"
2001,Wesley Person,"$5,600,000"
2001,Anthony Mason,"$5,553,000"
2001,Ron Mercer,"$5,515,000"
2001,Isaac Austin,"$5,500,000"
2001,Antonio Davis,"$5,500,000"
2001,Steve Nash,"$5,500,000"
2001,Kelvin Cato,"$5,400,000"
2001,Derrick McKey,"$5,400,000"
2001,Jim McIlvaine,"$5,400,000"
2001,Sean Elliott,"$5,333,000"
2001,Robert Horry,"$5,300,000"
2001,Austin Croshere,"$5,298,000"
2001,Greg Ostertag,"$5,200,000"
2001,Jerry Stackhouse,"$5,000,000"
2001,Charlie Ward,"$5,000,000"
2001,Lorenzen Wright,"$4,950,000"
2001,Loy Vaught,"$4,812,000"
2001,Mookie Blaylock,"$4,800,000"
2001,Chris Mills,"$4,800,000"
2001,Chris Childs,"$4,680,000"
2001,Bryon Russell,"$4,570,000"
2001,Bo Outlaw,"$4,500,000"
2001,Tariq Abdul-Wahad,"$4,500,000"
2001,Bob Sura,"$4,386,000"
2001,Jason Caffey,"$4,375,000"
2001,Robert Pack,"$4,320,000"
2001,Brent Barry,"$4,320,000"
2001,Vitaly Potapenko,"$4,286,000"
2001,Brevin Knight,"$4,250,000"
2001,Howard Eisley,"$4,250,000"
2001,Scott Williams,"$4,200,000"
2001,Duane Causwell,"$4,000,000"
2001,Brad Miller,"$4,000,000"
2001,Ben Wallace,"$4,000,000"
2001,Dan Majerle,"$4,000,000"
2001,Corliss Williamson,"$3,997,000"
2001,Cedric Ceballos,"$3,937,000"
2001,Cuttino Mobley,"$3,922,000"
2001,Jahidi White,"$3,922,000"
2001,Scot Pollard,"$3,922,000"
2001,Rashard Lewis,"$3,920,000"
2001,Eric Williams,"$3,892,000"
2001,Voshon Lenard,"$3,780,000"
2001,Dana Barros,"$3,700,000"
2001,Michael Olowokandi,"$3,697,000"
2001,Kurt Thomas,"$3,680,000"
2001,Elton Brand,"$3,629,000"
2001,Adonal Foyle,"$3,578,000"
2001,Mark Jackson,"$3,565,000"
2001,Kenyon Martin,"$3,536,000"
2001,Michael Stewart,"$3,520,000"
2001,Derek Strong,"$3,510,000"
2001,Greg Anthony,"$3,500,000"
2001,Sam Cassell,"$3,500,000"
2001,Rick Fox,"$3,412,000"
2001,Adam Keefe,"$3,390,000"
2001,Lamond Murray,"$3,375,000"
2001,Eric Snow,"$3,375,000"
2001,Ervin Johnson,"$3,310,000"
2001,Mike Bibby,"$3,308,000"
2001,Jud Buechler,"$3,259,000"
2001,Travis Best,"$3,250,000"
2001,Steve Francis,"$3,246,000"
2001,Tony Battie,"$3,200,000"
2001,Travis Knight,"$3,200,000"
2001,Stromile Swift,"$3,164,000"
2001,Doug Christie,"$3,132,000"
2001,Darrell Armstrong,"$3,100,000"
2001,Tracy Murray,"$3,060,000"
2001,Chucky Atkins,"$3,000,000"
2001,Derek Fisher,"$3,000,000"
2001,Eric Piatkowski,"$3,000,000"
2001,Tyrone Nesby,"$2,990,000"
2001,Raef LaFrentz,"$2,970,000"
2001,Baron Davis,"$2,916,000"
2001,David Wesley,"$2,880,000"
2001,Brent Price,"$2,880,000"
2001,Dean Garrett,"$2,880,000"
2001,Mikki Moore,"$2,848,000"
2001,Darius Miles,"$2,841,000"
2001,Popeye Jones,"$2,815,000"
2001,Antonio Daniels,"$2,814,000"
2001,Walter McCarty,"$2,812,000"
2001,Jerome Williams,"$2,750,000"
2001,Anthony Peeler,"$2,737,000"
2001,Jon Barry,"$2,727,000"
2001,Cedric E. Henderson,"$2,700,000"
2001,Lawrence Funderburke,"$2,700,000"
2001,Antawn Jamison,"$2,678,000"
2001,Lindsey Hunter,"$2,650,000"
2001,Lamar Odom,"$2,628,000"
2001,Malik Rose,"$2,570,000"
2001,Marcus Fizer,"$2,562,000"
2001,Dragan Tarlac,"$2,500,000"
2001,Vince Carter,"$2,425,000"
2001,Jonathan Bender,"$2,380,000"
2001,Chris Whitney,"$2,370,000"
2001,Mike Miller,"$2,320,000"
2001,A.C. Green,"$2,250,000"
2001,Bimbo Coles,"$2,250,000"
2001,Randy Brown,"$2,250,000"
2001,Othella Harrington,"$2,250,000"
2001,Derek Anderson,"$2,250,000"
2001,Joe Smith,"$2,250,000"
2001,Chris Crawford,"$2,250,000"
2001,Eric Montross,"$2,240,000"
2001,Robert Traylor,"$2,203,000"
2001,John Wallace,"$2,200,000"
2001,Terry Porter,"$2,200,000"
2001,Shandon Anderson,"$2,200,000"
2001,Rodney Rogers,"$2,200,000"
2001,Steve Kerr,"$2,200,000"
2001,Ron Harper,"$2,200,000"
2001,Otis Thorpe,"$2,200,000"
2001,Grant Long,"$2,200,000"
2001,Wally Szczerbiak,"$2,162,000"
2001,Sean Rooks,"$2,160,000"
2001,Lucious Harris,"$2,160,000"
2001,DerMarr Johnson,"$2,107,000"
2001,Alvin Williams,"$2,100,000"
2001,Vinny Del Negro,"$2,100,000"
2001,Sam Mitchell,"$2,100,000"
2001,Clarence Weatherspoon,"$2,100,000"
2001,Cherokee Parks,"$2,100,000"
2001,Jason Williams,"$2,011,000"
2001,Dell Curry,"$2,000,000"
2001,Richard Hamilton,"$1,973,000"
2001,Chris Mihm,"$1,923,000"
2001,Andrew DeClercq,"$1,920,000"
2001,Larry Hughes,"$1,842,000"
2001,Aaron McKie,"$1,820,000"
2001,Andre Miller,"$1,808,000"
2001,Greg Foster,"$1,764,000"
2001,Muggsy Bogues,"$1,740,000"
2001,Darvin Ham,"$1,700,000"
2001,Dirk Nowitzki,"$1,693,000"
2001,Shawn Marion,"$1,662,000"
2001,Joel Przybilla,"$1,619,000"
2001,Paul Pierce,"$1,608,000"
2001,Jason Terry,"$1,579,000"
2001,Keyon Dooling,"$1,538,000"
2001,Bonzi Wells,"$1,528,000"
2001,Jacque Vaughn,"$1,500,000"
2001,Trajan Langdon,"$1,500,000"
2001,Matt Bullard,"$1,481,000"
2001,Jerome Moiso,"$1,461,000"
2001,Aleksandar Radojevic,"$1,425,000"
2001,Johnny Newman,"$1,400,000"
2001,Keon Clark,"$1,379,000"
2001,Tony Massenburg,"$1,360,000"
2001,Corey Maggette,"$1,353,000"
2001,Corie Blount,"$1,320,000"
2001,Courtney Alexander,"$1,319,000"
2001,Michael Dickerson,"$1,310,000"
2001,Peja Stojakovic,"$1,310,000"
2001,Will Avery,"$1,286,000"
2001,Mateen Cleaves,"$1,253,000"
2001,Matt Harpring,"$1,244,000"
2001,Zan Tabak,"$1,210,000"
2001,LaPhonso Ellis,"$1,200,000"
2001,Eldridge Recasner,"$1,200,000"
2001,Danny Manning,"$1,200,000"
2001,Danny Ferry,"$1,200,000"
2001,Anthony Carter,"$1,200,000"
2001,Hersey Hawkins,"$1,200,000"
2001,Jason Collier,"$1,190,000"
2001,Metta World Peace,"$1,160,000"
2001,Hedo Turkoglu,"$1,131,000"
2001,Tom Hammonds,"$1,130,000"
2001,Rasho Nesterovic,"$1,123,000"
2001,Cal Bowdler,"$1,102,000"
2001,Greg Buckner,"$1,100,000"
2001,Desmond Mason,"$1,074,000"
2001,James Posey,"$1,047,000"
2001,Quentin Richardson,"$1,020,000"
2001,Pat Garrity,"$1,019,000"
2001,Quincy Lewis,"$1,000,000"
2001,Ruben Patterson,"$990,000"
2001,Roshown McLeod,"$978,000"
2001,Jamaal Magloire,"$975,000"
2001,Dion Glover,"$960,000"
2001,Ricky Davis,"$939,000"
2001,Jeff Foster,"$922,000"
2001,Brian Skinner,"$901,000"
2001,Morris Peterson,"$898,000"
2001,Kenny Thomas,"$885,000"
2001,Fred Hoiberg,"$880,000"
2001,Tyronn Lue,"$865,000"
2001,Devean George,"$849,000"
2001,Felipe Lopez,"$831,000"
2001,DeShawn Stevenson,"$828,000"
2001,John Crotty,"$800,000"
2001,Don MacLean,"$798,000"
2001,Al Harrington,"$797,000"
2001,Dalibor Bagaric,"$795,000"
2001,Tim James,"$783,000"
2001,Jake Tsakalidis,"$763,000"
2001,Vonteego Cummings,"$757,000"
2001,Hubert Davis,"$752,000"
2001,Corey Benjamin,"$744,000"
2001,Nazr Mohammed,"$739,000"
2001,Jumaine Jones,"$735,000"
2001,Bruce Bowen,"$733,000"
2001,Scott Padgett,"$730,000"
2001,Damon Jones,"$714,000"
2001,Erick Barkley,"$712,000"
2001,Mark Madsen,"$707,000"
2001,Darrick Martin,"$673,000"
2001,Emanual Davis,"$611,000"
2001,Eddie Robinson,"$600,000"
2001,John Amaechi,"$598,000"
2001,Shammond Williams,"$550,000"
2001,Monty Williams,"$548,000"
2001,Don Reid,"$548,000"
2001,Kevin Edwards,"$548,000"
2001,Mahmoud Abdul-Rauf,"$548,000"
2001,David Wingate,"$548,000"
2001,Dee Brown,"$548,000"
2001,Antonio Harvey,"$548,000"
2001,Jeff McInnis,"$523,000"
2001,Moochie Norris,"$523,000"
2001,Ryan Bowen,"$508,000"
2001,Laron Profit,"$508,000"
2001,Rick Brunson,"$507,000"
2001,Mark Pope,"$498,000"
2001,Kornel David,"$498,000"
2001,Bruno Sundov,"$498,000"
2001,Adrian Griffin,"$498,000"
2001,Mark Bryant,"$458,000"
2001,Rafer Alston,"$423,000"
2001,Todd MacCulloch,"$423,000"
2001,Mark Blount,"$423,000"
2001,Calvin Booth,"$423,000"
2001,Chris Herren,"$423,000"
2001,Elliot Perry,"$390,000"
2001,Kevin Ollie,"$363,000"
2001,Milt Palacio,"$326,000"
2001,Eddie House,"$316,000"
2001,Jake Voskuhl,"$316,000"
2001,Stephen Jackson,"$316,000"
2001,Michael Redd,"$316,000"
2001,Eduardo Najera,"$316,000"
2001,Dan Langhi,"$316,000"
2001,Daniel Santiago,"$316,000"
2001,Mike Smith,"$316,000"
2001,Hanno Mottola,"$316,000"
2001,Rodney Buford,"$288,000"
2001,Anthony Goldwire,"$243,000"
2001,Chucky Brown,"$241,000"
2001,Vernon Maxwell,"$161,000"
2001,Doug Overton,"$90,000"
2001,Sean Colson,"$83,000"
2001,David Vanterpool,"$80,000"
2001,Steve Goodrich,"$37,000"
2001,Eddie Gill,"$34,000"
2001,Chris Garner,"$32,000"
2001,Scott Burrell,"$29,000"
2001,Dan McClintock,"$26,000"
2001,Raja Bell,"$24,000"
2001,Jamel Thomas,"$24,000"
2002,Kevin Garnett,"$22,400,000"
2002,Shaquille O'Neal,"$21,428,000"
2002,Alonzo Mourning,"$18,756,000"
2002,Juwan Howard,"$18,750,000"
2002,Scottie Pippen,"$18,083,000"
2002,Karl Malone,"$17,500,000"
2002,Rasheed Wallace,"$14,400,000"
2002,Dikembe Mutombo,"$14,315,000"
2002,Gary Payton,"$12,926,000"
2002,Shawn Kemp,"$12,770,000"
2002,Chris Webber,"$12,750,000"
2002,Damon Stoudamire,"$12,375,000"
2002,Reggie Miller,"$12,045,000"
2002,Antonio McDyess,"$11,700,000"
2002,Ray Allen,"$11,250,000"
2002,Vin Baker,"$11,250,000"
2002,Antoine Walker,"$11,250,000"
2002,Stephon Marbury,"$11,250,000"
2002,Antonio Davis,"$11,000,000"
2002,Tim Duncan,"$10,865,000"
2002,Tracy McGrady,"$10,865,000"
2002,Grant Hill,"$10,865,000"
2002,Michael Finley,"$10,625,000"
2002,Vlade Divac,"$10,444,000"
2002,Tom Gugliotta,"$10,113,000"
2002,Eddie Jones,"$10,080,000"
2002,Brian Grant,"$10,009,000"
2002,Allan Houston,"$10,000,000"
2002,Tim Thomas,"$9,675,000"
2002,David Robinson,"$9,500,000"
2002,Terrell Brandon,"$9,250,000"
2002,Nick Van Exel,"$9,093,000"
2002,Steve Smith,"$9,000,000"
2002,Glenn Robinson,"$8,990,000"
2002,Glen Rice,"$8,800,000"
2002,Derrick Coleman,"$8,710,000"
2002,Theo Ratliff,"$8,593,000"
2002,Jason Kidd,"$8,440,000"
2002,Kenny Anderson,"$8,350,000"
2002,Matt Geiger,"$8,142,000"
2002,Toni Kukoc,"$8,050,000"
2002,John Stockton,"$8,000,000"
2002,Elden Campbell,"$7,975,000"
2002,Clifford Robinson,"$7,656,000"
2002,Kerry Kittles,"$7,167,000"
2002,Dale Davis,"$7,010,000"
2002,Jamal Mashburn,"$6,975,000"
2002,Greg Ostertag,"$6,933,000"
2002,Tyrone Hill,"$6,600,000"
2002,Bo Outlaw,"$6,555,000"
2002,Charles Oakley,"$6,545,000"
2002,Donyell Marshall,"$6,510,000"
2002,Alan Henderson,"$6,500,000"
2002,Derek Anderson,"$6,495,000"
2002,P.J. Brown,"$6,404,000"
2002,Jermaine O'Neal,"$6,325,000"
2002,Austin Croshere,"$6,310,000"
2002,Wesley Person,"$6,300,000"
2002,Marcus Camby,"$6,250,000"
2002,Erick Dampier,"$6,235,000"
2002,Ron Mercer,"$6,066,000"
2002,Kelvin Cato,"$6,048,000"
2002,Derrick McKey,"$6,000,000"
2002,Steve Nash,"$5,750,000"
2002,Isaac Austin,"$5,695,000"
2002,Shandon Anderson,"$5,500,000"
2002,Jerry Stackhouse,"$5,500,000"
2002,Lorenzen Wright,"$5,500,000"
2002,Nick Anderson,"$5,401,000"
2002,Mookie Blaylock,"$5,400,000"
2002,Chris Mills,"$5,400,000"
2002,Alvin Williams,"$5,350,000"
2002,Robert Horry,"$5,300,000"
2002,Eddie Robinson,"$5,205,000"
2002,Chris Childs,"$5,200,000"
2002,Bryon Russell,"$5,142,000"
2002,Charlie Ward,"$5,110,000"
2002,Tariq Abdul-Wahad,"$5,062,000"
2002,Hakeem Olajuwon,"$5,061,000"
2002,Jerome Williams,"$5,000,000"
2002,Peja Stojakovic,"$5,000,000"
2002,Bob Sura,"$4,913,000"
2002,Jason Caffey,"$4,812,000"
2002,Howard Eisley,"$4,781,000"
2002,Vitaly Potapenko,"$4,762,000"
2002,Brent Barry,"$4,680,000"
2002,Michael Olowokandi,"$4,662,000"
2002,Scott Williams,"$4,650,000"
2002,Calvin Booth,"$4,539,000"
2002,Joe Smith,"$4,538,000"
2002,Anthony Mason,"$4,538,000"
2002,Avery Johnson,"$4,538,000"
2002,Brevin Knight,"$4,500,000"
2002,Ben Wallace,"$4,500,000"
2002,Eric Williams,"$4,448,000"
2002,Danny Fortson,"$4,441,000"
2002,Christian Laettner,"$4,421,000"
2002,Kurt Thomas,"$4,413,000"
2002,Jahidi White,"$4,413,000"
2002,Rashard Lewis,"$4,413,000"
2002,Cuttino Mobley,"$4,412,000"
2002,Brad Miller,"$4,400,000"
2002,Adonal Foyle,"$4,400,000"
2002,Scot Pollard,"$4,344,000"
2002,Voshon Lenard,"$4,252,000"
2002,Mike Bibby,"$4,174,000"
2002,Shawn Bradley,"$4,155,000"
2002,Darrell Armstrong,"$4,130,000"
2002,Corliss Williamson,"$4,000,000"
2002,Aaron McKie,"$4,000,000"
2002,Sam Cassell,"$4,000,000"
2002,Greg Anthony,"$3,940,000"
2002,Elton Brand,"$3,882,000"
2002,Mark Jackson,"$3,860,000"
2002,Michael Stewart,"$3,840,000"
2002,Kenyon Martin,"$3,801,000"
2002,Rick Fox,"$3,791,000"
2002,Raef LaFrentz,"$3,755,000"
2002,Lamond Murray,"$3,750,000"
2002,Eric Snow,"$3,750,000"
2002,Kwame Brown,"$3,697,000"
2002,Brent Price,"$3,680,000"
2002,Ervin Johnson,"$3,670,000"
2002,Jud Buechler,"$3,666,000"
2002,Travis Knight,"$3,600,000"
2002,Tony Battie,"$3,600,000"
2002,Moochie Norris,"$3,600,000"
2002,Zeljko Rebraca,"$3,500,000"
2002,Steve Francis,"$3,473,000"
2002,Stromile Swift,"$3,401,000"
2002,Tracy Murray,"$3,400,000"
2002,Antawn Jamison,"$3,388,000"
2002,Tim Hardaway,"$3,360,000"
2002,Chucky Atkins,"$3,300,000"
2002,Tyrone Nesby,"$3,260,000"
2002,Travis Best,"$3,250,000"
2002,Anthony Carter,"$3,250,000"
2002,Marc Jackson,"$3,250,000"
2002,David Wesley,"$3,240,000"
2002,Dean Garrett,"$3,240,000"
2002,Jon Barry,"$3,175,000"
2002,Walter McCarty,"$3,125,000"
2002,Baron Davis,"$3,119,000"
2002,Vince Carter,"$3,073,000"
2002,Darius Miles,"$3,054,000"
2002,Evan Eschmeyer,"$3,038,000"
2002,Jaren Jackson,"$3,020,000"
2002,LaPhonso Ellis,"$3,000,000"
2002,Eric Piatkowski,"$3,000,000"
2002,Derek Fisher,"$3,000,000"
2002,Lawrence Funderburke,"$3,000,000"
2002,Anthony Peeler,"$2,978,000"
2002,Pau Gasol,"$2,970,000"
2002,Andrew DeClercq,"$2,900,000"
2002,Lamar Odom,"$2,812,000"
2002,Robert Traylor,"$2,793,000"
2002,Tyson Chandler,"$2,756,000"
2002,Marcus Fizer,"$2,754,000"
2002,Lindsey Hunter,"$2,700,000"
2002,Chris Whitney,"$2,666,000"
2002,John Wallace,"$2,630,000"
2002,Jason Williams,"$2,554,000"
2002,Jonathan Bender,"$2,546,000"
2002,Mikki Moore,"$2,531,000"
2002,Chris Gatling,"$2,504,000"
2002,Chris Crawford,"$2,500,000"
2002,Mike Miller,"$2,494,000"
2002,Eric Montross,"$2,480,000"
2002,Bimbo Coles,"$2,475,000"
2002,Randy Brown,"$2,475,000"
2002,Aaron Williams,"$2,475,000"
2002,Othella Harrington,"$2,475,000"
2002,Bobby Jackson,"$2,475,000"
2002,Horace Grant,"$2,419,000"
2002,Steve Kerr,"$2,406,000"
2002,Terry Porter,"$2,400,000"
2002,Rodney Rogers,"$2,400,000"
2002,Calbert Cheaney,"$2,400,000"
2002,George McCloud,"$2,400,000"
2002,Sean Rooks,"$2,400,000"
2002,Grant Long,"$2,400,000"
2002,Hubert Davis,"$2,368,000"
2002,Larry Hughes,"$2,343,000"
2002,Wally Szczerbiak,"$2,313,000"
2002,Malik Rose,"$2,285,000"
2002,Vinny Del Negro,"$2,275,000"
2002,DerMarr Johnson,"$2,265,000"
2002,Eddy Curry,"$2,232,000"
2002,Shane Battier,"$2,203,000"
2002,John Amaechi,"$2,175,000"
2002,Dirk Nowitzki,"$2,157,000"
2002,Patrick Ewing,"$2,118,000"
2002,Richard Hamilton,"$2,111,000"
2002,Dell Curry,"$2,100,000"
2002,Chris Mihm,"$2,067,000"
2002,Paul Pierce,"$2,051,000"
2002,Bonzi Wells,"$2,028,000"
2002,Jason Richardson,"$2,021,000"
2002,Eddie Griffin,"$2,011,000"
2002,Michael Doleac,"$2,000,000"
2002,Bryant Stith,"$2,000,000"
2002,Keon Clark,"$1,971,000"
2002,Michael Dickerson,"$1,940,000"
2002,Andre Miller,"$1,934,000"
2002,Greg Foster,"$1,924,000"
2002,Matt Harpring,"$1,908,000"
2002,Jamal Crawford,"$1,894,000"
2002,DeSagana Diop,"$1,842,000"
2002,Shawn Marion,"$1,778,000"
2002,Darvin Ham,"$1,760,000"
2002,Shammond Williams,"$1,750,000"
2002,Joel Przybilla,"$1,741,000"
2002,Rasho Nesterovic,"$1,725,000"
2002,Tyronn Lue,"$1,714,000"
2002,Rodney White,"$1,694,000"
2002,Jason Terry,"$1,689,000"
2002,Keyon Dooling,"$1,654,000"
2002,Joe Johnson,"$1,608,000"
2002,Trajan Langdon,"$1,604,000"
2002,Johnny Newman,"$1,575,000"
2002,Jerome Moiso,"$1,571,000"
2002,Pat Garrity,"$1,569,000"
2002,Kedrick Brown,"$1,528,000"
