YEAR,PLAYER,POS,COUNTRY
1985,Ron Crevier,C,Canada
2001,Samuel Dalembert,C,Canada
2014,Tyler Ennis,G,Canada
1991,Rick Fox,F/G,Canada
1983,Stewart Granger,G,Canada
1979,Lars Hansen,C,Canada
1953,Bob Houbregs,C/F,Canada
2011,Cory Joseph,G,Canada
2013,Kris Joseph,F,Canada
2015,Trey Lyles,F,Canada
1999,Todd MacCulloch,C,Canada
2000,Jamaal Magloire,C,Canada
2016,Jamal Murray,G,Canada
1996,Steve Nash,G,Canada
2012,Andrew Nicholson,F,Canada
2013,Kelly Olynyk,C,Canada
2014,Dwight Powell,F,Canada
2011,Andy Rautins,G,Canada
1983,Leo Rautins,F,Canada
2012,Robert Sacre,C,Canada
1985,Mike Smrek,C,Canada
1947,Gino Sovran,F/G,Canada
2014,Nik Stauskas,G,Canada
2011,Tristan Thompson,F,Canada
1949,Ernie Vandeweghe,F/G,Canada
1985,Bill Wennington,C,Canada
2014,Andrew Wiggins,G/F,Canada
2016,Kyle Wiltjer,F/C,Canada
1982,Jim Zoet,C,Canada
2015,Walter Tavares,C,Cape Verde
2002,Mengke Bateer,C,China
2009,Sun Yue,G,China
2001,Wang Zhizhi,C,China
2002,Yao Ming,C,China
2007,Yi Jianlian,F,China
2000,Dalibor Bagaric,C,Croatia
2016,Dragan Bender,F/C,Croatia
2014,Bojan Bogdanovic,G/F,Croatia
2016,Duje Dukan,F,Croatia
2002,Gordan Giricek,G/F,Croatia
2014,Justin Hamilton,C,Croatia
2015,Mario Hezonja,G/F,Croatia
2004,Mario Kasun,C,Croatia
1993,Toni Kukoc,F,Croatia
2007,Damir Markota,C,Croatia
1989,Drazen Petrovic,G,Croatia
2003,Zoran Planinic,G,Croatia
1993,Dino Rada,F/C,Croatia
2014,Damjan Rudez,F,Croatia
2016,Dario Saric,F,Croatia
1998,Bruno Sundov,C,Croatia
1994,Zan Tabak,C,Croatia
2008,Roko Ukic,G,Croatia
1990,Stojko Vrankovic,C,Croatia
2016,Ivica Zubac,C,Croatia
2000,Lazaro Borrell,F,Cuba
1994,Andres Guibert,F/C,Cuba
2016,Tomas Satoransky,F,Czech Republic
2011,Jan Vesely,F,Czech Republic
2002,Jiri Welsch,G,Czech Republic
1995,George Zidek,C,Czech Republic
2011,Bismack Biyombo,F,Democratic Republic of the Congo
2010,Christian Eyenga,G/F,Democratic Republic of the Congo
2015,Emmanuel Mudiay,F,Democratic Republic of the Congo
1991,Dikembe Mutombo,C,Democratic Republic of the Congo
2001,Garth Joseph,C,Dominica
2005,Luis Flores,G,Dominican Republic
2005,Francisco Garcia,F/G,Dominican Republic
1988,Tito Horford,C,Dominican Republic
2007,Al Horford,C,Dominican Republic
1998,Felipe Lopez,G,Dominican Republic
2016,Luis David Montero,G,Dominican Republic
2005,Charlie Villanueva,F,Dominican Republic
2015,Karl-Anthony Towns,C,Dominican Republic
1990,Alaa Abdelnaby,F/C,Egypt
1996,Martin Muursepp,F,Estonia
2000,Hanno Mottola,C,Finland
2014,Erik Murphy,C,Finland
1997,Tariq Abdul-Wahad,F,France
2008,Alexis Ajinca,F,France
2008,Nicolas Batum,F,France
2009,Rodrigue Beaubois,G,France
1983,Howard Carter,G,France
2012,Nando de Colo,G,France
2003,Boris Diaw,F/C,France
2006,Yakhouba Diawara,F,France
2012,Evan Fournier,G/F,France
2006,Mickael Gelabale,F,France
2013,Rudy Gobert,C,France
2016,Damien Inglis,F,France
2015,Joffrey Lauvergne,F/C,France
2016,Timothe Luwawu-Cabarrot,G/F,France
2007,Ian Mahinmi,C,France
2000,Jerome Moiso,F,France
2007,Joakim Noah,C,France
2001,Tony Parker,G,France
2005,Johan Petro,C,France
2003,Mickael Pietrus,G/F,France
2003,Antoine Rigaudeau,G,France
2010,Kevin Seraphin,F,France
2011,Pape Sy,F/G,France
2016,Axel Toupane,F/G,France
2005,Ronny Turiaf,F,France
2008,Stephane Lasme,F,Gabon
2008,Taurean Green,G,Georgia
2003,Zaza Pachulia,C,Georgia
2006,Melvin Sanders,G/F,Georgia
2012,Tornike Shengelia,F,Georgia
1998,Vladimir Stepania,C,Georgia
2002,Nikoloz Tskitishvili,F,Georgia
1998,Shammond Williams,G,Georgia
1985,Uwe Blab,C,Germany
1993,Shawn Bradley,C,Germany
1947,Frido Frey,F,Germany
2013,Elias Harris,F,Germany
2003,Chris Kaman,C,Germany
1998,Dirk Nowitzki,F,Germany
2013,Tim Ohlbrecht,F/C,Germany
1985,Detlef Schrempf,F/C,Germany
2016,Tibor Pleiss,C,Germany
2013,Dennis Schroder,G,Germany
1987,Christian Welp,C,Germany
2016,Paul Zipser,G/F,Germany
2017,Ben Bentil,F,Ghana
1996,John Amaechi,C/F,"Great Britain England"
2002,Robert Archibald,F,"Great Britain Scotland"
1990,Steve Bucknall,G,"Great Britain England"
2004,Luol Deng,F,"Great Britain England"
1980,James Donaldson,C,"Great Britain England"
2003,Ndudi Ebi,F,"Great Britain England"
2012,Joel Freeland,C,"Great Britain England"
2004,Ben Gordon,G,"Great Britain England"
1956,Chris Harris,G,"Great Britain England"
2007,Pops Mensah-Bonsu,F,"Great Britain England"
2009,Byron Mullens,C,"Great Britain England"
2013,Giannis Antetokounmpo,F,Greece
2016,Thanasis Antetokounmpo,F,Greece
2013,Nick Calathes,G,Greece
2002,Antonis Fotsis,F,Greece
2007,Andreas Glyniadakis,C,Greece
2008,Kosta Koufos,C,Greece
2016,Georgios Papagiannis,C,Greece
2014,Kostas Papanikolaou,F,Greece
2003,Efthimios Rentzias,C,Greece
2007,Vassilis Spanoulis,G,Greece
2000,Jake Tsakalidis,C,Greece
2005,Rawle Marshall,G/F,Guyana
1999,Jason Miskiri,G,Guyana
1985,Yvon Joseph,C,Haiti
2016,Skal Labissiere,C,Haiti
1987,Olden Polynice,C/F,Haiti
1999,Kornel David,F,Hungary
1982,Petur Gudmundsson,C,Iceland
2008,Hamed Haddadi,C,Iran
2003,Pat Burke,C/F,Ireland
1999,Cal Bowdler,F,Ireland
1991,Marty Conlon,F/C,Ireland
2009,Omri Casspi,F,Israel
2013,Gal Mekel,G,Israel
2006,Andrea Bargnani,F,Italy
2007,Marco Belinelli,G,Italy
1973,Mike D'Antoni,G,Italy
2013,Luigi Datome,F,Italy
2005,Travis Diener,G,Italy
1996,Vincenzo Esposito,G,Italy
2008,Danilo Gallinari,F,Italy
1996,Stefano Rusconi,C/F,Italy
2011,"Patrick Ewing, Jr.",F,Jamaica
2008,Roy Hibbert,C,Jamaica
2012,Jerome Jordan,C,Jamaica
1990,Rumeal Robinson,G,Jamaica
2010,Samardo Samuels,F,Jamaica
1985,Wayne Sappleton,F,Jamaica
1999,J. R. Sakuragi,F,Japan
2004,Yuta Tabuse,G,Japan
2016,Davis Bertans,F,Latvia
2004,Andris Biedrins,C,Latvia
2015,Kristaps Porzingis,F/C,Latvia
1993,Gundars Vetra,F,Latvia
2005,Hesham Salem,F,Libya
2004,Raed Elhamali,F,Libya
2005,Matt Freije,F,Lebanon
2001,Loren Woods,C,Lebanon
2004,Jackson Vroman,F/C,Lebanon
2005,Martynas Andriuskevicius,C,Lithuania
1996,Zydrunas Ilgauskas,C,Lithuania
2005,Sarunas Jasikevicius,G,Lithuania
2005,Linas Kleiza,F,Lithuania
2016,Mindaugas Kuzminskas,F,Lithuania
2006,Arvydas Macijauskas,G,Lithuania
1989,Sarunas Marciulionis,G,Lithuania
2012,Donatas Motiejunas,F/C,Lithuania
1995,Arvydas Sabonis,C,Lithuania
2016,Domantas Sabonis,C,Lithuania
2003,Darius Songaila,F,Lithuania
2012,Jonas Valanciunas,C,Lithuania
2013,Pero Antic,F/C,Macedonia
2007,Darius Washington,G,Macedonia
2016,Cheick Diallo,F,Mali
2001,Soumaila Samake,C,Mali
2011,Gustavo Ayon,F,Mexico
2014,Jorge Gutierrez,G,Mexico
1997,Horacio Llamas,C,Mexico
2000,Eduardo Najera,F,Mexico
2003,Zarko Cabarkapa,F,Montenegro
2004,Omar Cook,G,Montenegro
2006,Quincy Douby,G,Montenegro
2001,Predrag Drobnjak,C,Montenegro
2010,Nikola Pekovic,C,Montenegro
2004,Slavko Vranes,C,Montenegro
2011,Nikola Vucevic,C,Montenegro
2003,Francisco Elson,C,Netherlands
2002,Dan Gadzuric,C,Netherlands
1994,Geert Hammink,C,Netherlands
1976,Swen Nater,C,Netherlands
1988,Rik Smits,C,Netherlands
2013,Steven Adams,C,New Zealand
1998,Sean Marks,F/C,New Zealand
2003,Kirk Penney,G,New Zealand
2013,Josh Akognon,G,Nigeria
2010,Solomon Alabi,C,Nigeria
2010,Al-Farouq Aminu,F,Nigeria
2007,Kelenna Azubuike,G,Nigeria
1999,Peter Aluma,C,Nigeria
1994,Yinka Dare,C,Nigeria
2005,Ike Diogu,F,Nigeria
1999,Obinna Ekezie,F/C,Nigeria
2012,Festus Ezeli,C,Nigeria
2016,Michael Gbinije,F,Nigeria
2011,Gani Lawal,F,Nigeria
1995,Julius Nwosu,C,Nigeria
1998,Michael Olowokandi,C,Nigeria
2000,Olumide Oyedeji,C,Nigeria
2004,Ime Udoka,F,Nigeria
2011,Ben Uzoh,F,Nigeria
1989,Torgeir Bryn,C,Norway
1986,Lorenzo Charles,F,Panama
2010,Gary Forbes,F,Panama
2001,Ruben Garces,F,Panama
1984,Stuart Gray,C/F,Panama
2005,Andray Blatche,C/F,Philippines
2014,Jordan Clarkson,G,Philippines
1978,Raymond Townsend,G,Philippines
2007,Marcin Gortat,C/F,Poland
2003,Maciej Lampe,F/C,Poland
1997,Jeff Nordgaard,SF,Poland
2002,Cezary Trybanski,C,Poland
2001,Carlos Arroyo,G,Puerto Rico
2006,Renaldo Balkman,F,Puerto Rico
2006,Jose Juan Barea,G,Puerto Rico
2008,Guillermo Diaz,G,Puerto Rico
2012,Moe Harkless,F,Puerto Rico
1978,Butch Lee,G,Puerto Rico
1988,Jose Ortiz,F,Puerto Rico
2005,Peter John Ramos,C,Puerto Rico
1989,Ramon Rivas,F/C,Puerto Rico
2000,Daniel Santiago,C,Puerto Rico
2012,Edwin Ubiles,F/G,Puerto Rico
2003,Jarvis Hayes,F,Qatar
2009,Trey Johnson,G,Qatar
1993,Gheorghe Muresan,C,Romania
1995,Sergei Bazarevich,G,Russia
2004,Travis Hansen,G,Russia
2013,Sergey Karasev,G/F,Russia
2016,Sasha Kaun,C,Russia
2004,Viktor Khryapa,F,Russia
2001,Andrei Kirilenko,F,Russia
2005,Yaroslav Korolev,F,Russia
1999,Kelly McCarty,G/F,Russia
2006,Sergei Monia,F,Russia
2010,Timofey Mozgov,F,Russia
2004,Pavel Podkolzin,C,Russia
2012,Alexey Shved,G,Russia
2013,Gorgui Dieng,C,Senegal
2001,DeSagana Diop,C,Senegal
2010,Hamady N'Diaye,C,Senegal
1999,Makhtar N'Diaye,F,Senegal
2000,Mamadou N'Diaye,C,Senegal
2006,Boniface N'Dong,C,Senegal
2016,Maurice Ndour,SF,Senegal
2007,Cheikh Samb,C,Senegal
2006,Mouhamed Sene,F,Senegal
2004,Pape Sow,F,Senegal
1990,Milos Babic,C/F,Serbia
2015,Nemanja Bjelica,F,Serbia
1993,Radisav Curcic,C,Serbia
1996,Rastko Cvetkovic,C,Serbia
1995,Predrag Danilovic,G,Serbia
1989,Vlade Divac,C,Serbia
1996,Aleksandar Dordevic,G,Serbia
2007,Mile Ilic,C,Serbia
2002,Marko Jaric,G,Serbia
2015,Nikola Jokic,C,Serbia
2004,Nenad Krstic,C,Serbia
2013,Ognjen Kuzmic,C,Serbia
2015,Boban Marjanovic,C,Serbia
2003,Darko Milicic,F/C,Serbia
2013,Nemanja Nedovic,G,Serbia
1990,Zarko Paspalj,F,Serbia
2003,Sasha Pavlovic,G/F,Serbia
2008,Kosta Perovic,C,Serbia
2001,Vladimir Radmanovic,F,Serbia
2014,Miroslav Raduljica,C,Serbia
2003,Igor Rakocevic,G,Serbia
2001,Zeljko Rebraca,C,Serbia
2003,Predrag Savovic,G,Serbia
1998,Peja Stojakovic,F/G,Serbia
2001,Dragan Tarlac,C,Serbia
1994,Richard Petruska,C/F,Slovakia
2001,Primoz Brezec,C,Slovenia
2008,Goran Dragic,G,Slovenia
2015,Zoran Dragic,G,Slovenia
1997,Marko Milic,G/F,Slovenia
2002,Bostjan Nachbar,F,Slovenia
1998,Radoslav Nesterovic,C,Slovenia
2007,Uros Slokar,F,Slovenia
2004,Beno Udrih,G,Slovenia
2004,Sasha Vujacic,G,Slovenia
2004,Ha Seung-Jin,C,South Korea
2005,Deng Gai,F,South Sudan
2016,Alex Abrines,G/F,Spain
2005,Jose Calderon,G,Spain
2012,Victor Claver,F,Spain
2008,Rudy Fernandez,G,Spain
2006,Jorge Garbajosa,F,Spain
2008,Marc Gasol,C,Spain
2001,Pau Gasol,F,Spain
2016,Juan Hernangomez,F,Spain
2016,Willy Hernangomez,C,Spain
2009,Serge Ibaka,F,Spain
2002,Raul Lopez,G,Spain
1987,Fernando Martin,C,Spain
2014,Nikola Mirotic,F,Spain
2008,Juan Carlos Navarro,G,Spain
2006,Sergio Rodriguez,G,Spain
1986,Johnny Rogers,F/C,Spain
2011,Ricky Rubio,G,Spain
1985,Manute Bol,C,Sudan
2009,Jonas Jerebko,F,Sweden
2012,Jeffery Taylor,F,Sweden
2014,Clint Capela,F,Switzerland
2006,Thabo Sefolosha,G,Switzerland
2009,Hasheem Thabeet,C,Tanzania
1973,Ken Charles,G,Trinidad and Tobago
2015,Salah Mejri,C,Tunisia
2015,Furkan Aldemir,F/C,Turkey
2010,Omer Asik,C/F,Turkey
2010,Semih Erden,C,Turkey
2007,Ersan Ilyasova,F,Turkey
2011,Enes Kanter,F,Turkey
2005,Ibrahim Kutluay,G,Turkey
2002,Mehmet Okur,F/C,Turkey
2000,Mirsad Turkcan,F,Turkey
2000,Hedo Turkoglu,F,Turkey
2016,Joel Bolomboy,F/C,Ukraine
2007,Kyrylo Fesenko,C,Ukraine
2012,Vyacheslav Kravtsov,C,Ukraine
2013,Alex Len,C,Ukraine
2000,Slava Medvedenko,F,Ukraine
2007,Oleksiy Pecherov,C,Ukraine
1996,Vitaly Potapenko,C,Ukraine
1989,Alexander Volkov,F,Ukraine
2008,Joe Alexander,F,United States
1946,Hank Beenders,C/F,United States
1981,Rolando Blackman,G,United States
2002,Carlos Boozer,F/C,United States
1983,Wallace Bryant,C,United States
1997,Tim Duncan,F/C,United States
1992,Jo Jo English,G,United States
1985,Patrick Ewing,C/F,United States
1975,Mike Flynn,G,United States
1997,Adonal Foyle,C,United States
2008,Donte Greene,F,United States
1977,Ernie Grunfeld,G/F,United States
2010,Xavier Henry,G,United States
2011,Kyrie Irving,G,United States
2011,Reggie Jackson,G,United States
2002,Alvin Jones,F,United States
1988,Steve Kerr,G,United States
1987,Cozell McQueen,F,United States
1961,Tom Meschery,F,United States
1984,Hakeem Olajuwon,C,United States
2008,Anthony Randolph,F,United States
1988,Rony Seikaly,C,United States
1999,Miles Simon,G,United States
1997,Michael Stewart,C,United States
1999,Wally Szczerbiak,F,United States
1980,Kiki Vandeweghe,F,United States
1988,Duane Washington,G,United States
1982,Dominique Wilkins,F/G,United States
2000,Raja Bell,G,U.S. Virgin Islands
1995,Charles Claxton,G,U.S. Virgin Islands
2001,David Vanterpool,G,U.S. Virgin Islands
2005,Esteban Batista,F/C,Uruguay
1991,Carl Herrera,F,Venezuela
1986,Harold Keeling,F,Venezuela
2004,Donta Smith,G,Venezuela
2001,Oscar Torres,F,Venezuela
2010,Greivis Vasquez,G,Venezuela
